"Ticker","Nome","Negócios","Última (R$)","Variação"
"MGLU3","Magazine Luiza","88.086.400","1,77","-2,75%"
"HAPV3","Hapvida","82.094.200","3,94","-3,19%"
"PETR4","Petrobras","55.821.500","39,59","+2,22%"
"B3SA3","B3","50.523.500","11,96","-3,47%"
"CIEL3","Cielo","29.699.000","5,39","-0,37%"
"CVCB3","CVC","29.680.700","2,46","-5,38%"
"BBDC4","Banco Bradesco","28.633.200","14,40","-2,11%"
"COGN3","Cogna","27.240.900","2,33","-0,85%"
"ITUB4","Itaú Unibanco","26.829.700","32,86","-2,11%"
"ABEV3","Ambev","23.028.800","12,10","-2,10%"
"RAIZ4","Raízen","21.574.900","3,28","-3,81%"
"VALE3","Vale","21.155.900","61,60","-1,52%"
"CMIN3","CSN Mineração","20.479.400","5,10","-6,08%"
"PETZ3","Petz","19.228.400","3,79","-6,19%"
"IFCM3","Infracommerce","19.079.300","0,87","-7,45%"
"MRVE3","MRV","18.923.600","7,06","-4,59%"
"ITSA4","Itaúsa","18.507.800","10,01","-1,96%"
"SOMA3","Grupo Soma","17.893.800","6,45","-4,16%"
"CMIG4","CEMIG","15.883.500","13,14","-1,28%"
"PETR3","Petrobras","15.627.500","41,00","+3,02%"
"PCAR3","Grupo Pão de Açúcar","15.305.200","2,60","-2,99%"
"AZUL4","Azul","14.526.000","12,76","-6,93%"
"AMER3","Americanas","14.253.900","0,56","-3,45%"
"RAIL3","Rumo","14.076.100","22,70","-2,45%"
"CPLE6","Copel","13.993.900","9,58","-2,44%"
"CSNA3","Siderúrgica Nacional","12.902.700","14,35","-4,97%"
"BEEF3","Minerva","12.493.000","6,46","-1,52%"
"LREN3","Lojas Renner","11.634.800","16,37","-5,32%"
"HBSA3","Hidrovias do Brasil","11.051.000","4,16","-0,95%"
"CSAN3","Cosan","10.726.800","15,56","-2,45%"
"AZEV4","Azevedo & Travassos","10.328.900","1,69","+13,42%"
"USIM5","Usiminas","10.004.200","10,36","-2,72%"
"BRFS3","BRF","9.335.300","16,88","-2,20%"
"PRIO3","PetroRio","9.145.800","50,19","+0,70%"
"LWSA3","Locaweb","8.883.100","5,42","-0,91%"
"CPLE3","Copel","8.713.000","8,52","-2,63%"
